Handle,Title,Body HTML,Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
heritage-herringbone-barn-door-36x84,Heritage Herringbone Barn Door 36" x 84","<p>Elegant Heritage Herringbone barn door featuring distinctive chevron design with premium MDF construction and smooth-gliding hardware system.</p><ul><li>Herringbone chevron pattern design</li><li>Premium MDF construction</li><li>Smooth-gliding hardware included</li><li>Professional installation available</li><li>Ottawa delivery within 2-3 days</li></ul>",Renin,Barn Doors,"barn door,herringbone,heritage,sliding door,home improvement,Ottawa installation",TRUE,Width,36",,,,,BD-HER-36X84,15000,shopify,12,deny,manual,899,1099,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_192861_hd.jpg,1,Heritage Herringbone Barn Door 36x84,FALSE,Heritage Herringbone Barn Door 36" x 84" | Ottawa Installation | PG Closets,Premium Heritage Herringbone barn door with chevron design. Professional installation in Ottawa. 5-year warranty. Shop now at PG Closets.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-HER-36X84,Barn Doors,Heritage Collection,New,FALSE,Barn Doors,Heritage,Premium,Ottawa,PG Closets,,kg,,650
heritage-herringbone-barn-door-30x84,Heritage Herringbone Barn Door 30" x 84","<p>Elegant Heritage Herringbone barn door featuring distinctive chevron design with premium MDF construction and smooth-gliding hardware system.</p><ul><li>Herringbone chevron pattern design</li><li>Premium MDF construction</li><li>Smooth-gliding hardware included</li><li>Professional installation available</li><li>Ottawa delivery within 2-3 days</li></ul>",Renin,Barn Doors,"barn door,herringbone,heritage,sliding door,home improvement,Ottawa installation",TRUE,Width,30",,,,,BD-HER-30X84,14000,shopify,10,deny,manual,799,999,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_192861_hd.jpg,1,Heritage Herringbone Barn Door 30x84,FALSE,Heritage Herringbone Barn Door 30" x 84" | Ottawa Installation | PG Closets,Premium Heritage Herringbone barn door with chevron design. Professional installation in Ottawa. 5-year warranty.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-HER-30X84,Barn Doors,Heritage Collection,New,FALSE,Barn Doors,Heritage,Premium,Ottawa,PG Closets,,kg,,600
heritage-herringbone-barn-door-32x84,Heritage Herringbone Barn Door 32" x 84","<p>Elegant Heritage Herringbone barn door featuring distinctive chevron design with premium MDF construction and smooth-gliding hardware system.</p><ul><li>Herringbone chevron pattern design</li><li>Premium MDF construction</li><li>Smooth-gliding hardware included</li><li>Professional installation available</li><li>Ottawa delivery within 2-3 days</li></ul>",Renin,Barn Doors,"barn door,herringbone,heritage,sliding door,home improvement,Ottawa installation",TRUE,Width,32",,,,,BD-HER-32X84,14500,shopify,15,deny,manual,849,1049,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_192861_hd.jpg,1,Heritage Herringbone Barn Door 32x84,FALSE,Heritage Herringbone Barn Door 32" x 84" | Ottawa Installation | PG Closets,Premium Heritage Herringbone barn door with chevron design. Professional installation in Ottawa. 5-year warranty.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-HER-32X84,Barn Doors,Heritage Collection,New,FALSE,Barn Doors,Heritage,Premium,Ottawa,PG Closets,,kg,,625
heritage-herringbone-barn-door-42x84,Heritage Herringbone Barn Door 42" x 84","<p>Elegant Heritage Herringbone barn door featuring distinctive chevron design with premium MDF construction and smooth-gliding hardware system.</p><ul><li>Herringbone chevron pattern design</li><li>Premium MDF construction</li><li>Smooth-gliding hardware included</li><li>Professional installation available</li><li>Ottawa delivery within 2-3 days</li></ul>",Renin,Barn Doors,"barn door,herringbone,heritage,sliding door,home improvement,Ottawa installation",TRUE,Width,42",,,,,BD-HER-42X84,16000,shopify,8,deny,manual,1049,1249,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_192861_hd.jpg,1,Heritage Herringbone Barn Door 42x84,FALSE,Heritage Herringbone Barn Door 42" x 84" | Ottawa Installation | PG Closets,Premium Heritage Herringbone barn door with chevron design. Professional installation in Ottawa. 5-year warranty.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-HER-42X84,Barn Doors,Heritage Collection,New,FALSE,Barn Doors,Heritage,Premium,Ottawa,PG Closets,,kg,,700
heritage-salinas-z-design-barn-door-36x84,Heritage Salinas Z-Design Barn Door 36" x 84","<p>Distinctive Heritage Salinas barn door with bold Z-design pattern, combining rustic charm with modern functionality.</p><ul><li>Bold Z-pattern design</li><li>Heritage collection styling</li><li>Durable MDF construction</li><li>Complete hardware system</li><li>Ottawa professional installation</li></ul>",Renin,Barn Doors,"barn door,z-design,heritage,salinas,rustic,sliding door,Ottawa installation",TRUE,Width,36",,,,,BD-SAL-36X84,15000,shopify,8,deny,manual,849,1049,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176737_hd.jpg,1,Heritage Salinas Z-Design Barn Door 36x84,FALSE,Heritage Salinas Z-Design Barn Door | Ottawa Professional Installation,Rustic Heritage Salinas barn door with Z-pattern design. Professional installation available in Ottawa. Premium quality guaranteed.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-SAL-36X84,Barn Doors,Heritage Collection,New,FALSE,Barn Doors,Heritage,Rustic,Ottawa,PG Closets,,kg,,650
heritage-salinas-z-design-barn-door-30x84,Heritage Salinas Z-Design Barn Door 30" x 84","<p>Distinctive Heritage Salinas barn door with bold Z-design pattern, combining rustic charm with modern functionality.</p><ul><li>Bold Z-pattern design</li><li>Heritage collection styling</li><li>Durable MDF construction</li><li>Complete hardware system</li><li>Ottawa professional installation</li></ul>",Renin,Barn Doors,"barn door,z-design,heritage,salinas,rustic,sliding door,Ottawa installation",TRUE,Width,30",,,,,BD-SAL-30X84,14000,shopify,6,deny,manual,749,949,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176737_hd.jpg,1,Heritage Salinas Z-Design Barn Door 30x84,FALSE,Heritage Salinas Z-Design Barn Door 30" | Ottawa Professional Installation,Rustic Heritage Salinas barn door with Z-pattern design. Professional installation available in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-SAL-30X84,Barn Doors,Heritage Collection,New,FALSE,Barn Doors,Heritage,Rustic,Ottawa,PG Closets,,kg,,600
heritage-salinas-z-design-barn-door-32x84,Heritage Salinas Z-Design Barn Door 32" x 84","<p>Distinctive Heritage Salinas barn door with bold Z-design pattern, combining rustic charm with modern functionality.</p><ul><li>Bold Z-pattern design</li><li>Heritage collection styling</li><li>Durable MDF construction</li><li>Complete hardware system</li><li>Ottawa professional installation</li></ul>",Renin,Barn Doors,"barn door,z-design,heritage,salinas,rustic,sliding door,Ottawa installation",TRUE,Width,32",,,,,BD-SAL-32X84,14500,shopify,10,deny,manual,799,999,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176737_hd.jpg,1,Heritage Salinas Z-Design Barn Door 32x84,FALSE,Heritage Salinas Z-Design Barn Door 32" | Ottawa Professional Installation,Rustic Heritage Salinas barn door with Z-pattern design. Professional installation available in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-SAL-32X84,Barn Doors,Heritage Collection,New,FALSE,Barn Doors,Heritage,Rustic,Ottawa,PG Closets,,kg,,625
heritage-salinas-z-design-barn-door-42x84,Heritage Salinas Z-Design Barn Door 42" x 84","<p>Distinctive Heritage Salinas barn door with bold Z-design pattern, combining rustic charm with modern functionality.</p><ul><li>Bold Z-pattern design</li><li>Heritage collection styling</li><li>Durable MDF construction</li><li>Complete hardware system</li><li>Ottawa professional installation</li></ul>",Renin,Barn Doors,"barn door,z-design,heritage,salinas,rustic,sliding door,Ottawa installation",TRUE,Width,42",,,,,BD-SAL-42X84,16000,shopify,5,deny,manual,999,1199,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176737_hd.jpg,1,Heritage Salinas Z-Design Barn Door 42x84,FALSE,Heritage Salinas Z-Design Barn Door 42" | Ottawa Professional Installation,Rustic Heritage Salinas barn door with Z-pattern design. Professional installation available in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-SAL-42X84,Barn Doors,Heritage Collection,New,FALSE,Barn Doors,Heritage,Rustic,Ottawa,PG Closets,,kg,,700
continental-dunmore-k-lite-barn-door-36x84,Continental Dunmore K-Lite Barn Door 36" x 84","<p>Sophisticated Continental Dunmore barn door with K-Lite glass insert design for enhanced light transmission and modern aesthetics.</p><ul><li>K-Lite glass insert design</li><li>Continental collection premium styling</li><li>Enhanced light transmission</li><li>Premium hardware system</li><li>Professional Ottawa installation</li></ul>",Renin,Barn Doors,"barn door,continental,dunmore,k-lite,glass,modern,sliding door,Ottawa installation",TRUE,Width,36",,,,,BD-CON-DUN-36X84,15500,shopify,6,deny,manual,949,1199,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176732_hd.jpg,1,Continental Dunmore K-Lite Barn Door 36x84,FALSE,Continental Dunmore K-Lite Glass Barn Door | Ottawa Installation,Premium Continental Dunmore barn door with K-Lite glass insert. Professional installation in Ottawa. Modern design meets functionality.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-CON-DUN-36X84,Barn Doors,Continental Collection,New,FALSE,Barn Doors,Continental,Glass,Ottawa,PG Closets,,kg,,675
continental-dunmore-k-lite-barn-door-30x84,Continental Dunmore K-Lite Barn Door 30" x 84","<p>Sophisticated Continental Dunmore barn door with K-Lite glass insert design for enhanced light transmission and modern aesthetics.</p><ul><li>K-Lite glass insert design</li><li>Continental collection premium styling</li><li>Enhanced light transmission</li><li>Premium hardware system</li><li>Professional Ottawa installation</li></ul>",Renin,Barn Doors,"barn door,continental,dunmore,k-lite,glass,modern,sliding door,Ottawa installation",TRUE,Width,30",,,,,BD-CON-DUN-30X84,14500,shopify,4,deny,manual,849,1099,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176732_hd.jpg,1,Continental Dunmore K-Lite Barn Door 30x84,FALSE,Continental Dunmore K-Lite Glass Barn Door 30" | Ottawa Installation,Premium Continental Dunmore barn door with K-Lite glass insert. Professional installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-CON-DUN-30X84,Barn Doors,Continental Collection,New,FALSE,Barn Doors,Continental,Glass,Ottawa,PG Closets,,kg,,625
continental-dunmore-k-lite-barn-door-32x84,Continental Dunmore K-Lite Barn Door 32" x 84","<p>Sophisticated Continental Dunmore barn door with K-Lite glass insert design for enhanced light transmission and modern aesthetics.</p><ul><li>K-Lite glass insert design</li><li>Continental collection premium styling</li><li>Enhanced light transmission</li><li>Premium hardware system</li><li>Professional Ottawa installation</li></ul>",Renin,Barn Doors,"barn door,continental,dunmore,k-lite,glass,modern,sliding door,Ottawa installation",TRUE,Width,32",,,,,BD-CON-DUN-32X84,15000,shopify,7,deny,manual,899,1149,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176732_hd.jpg,1,Continental Dunmore K-Lite Barn Door 32x84,FALSE,Continental Dunmore K-Lite Glass Barn Door 32" | Ottawa Installation,Premium Continental Dunmore barn door with K-Lite glass insert. Professional installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-CON-DUN-32X84,Barn Doors,Continental Collection,New,FALSE,Barn Doors,Continental,Glass,Ottawa,PG Closets,,kg,,650
continental-dunmore-k-lite-barn-door-42x84,Continental Dunmore K-Lite Barn Door 42" x 84","<p>Sophisticated Continental Dunmore barn door with K-Lite glass insert design for enhanced light transmission and modern aesthetics.</p><ul><li>K-Lite glass insert design</li><li>Continental collection premium styling</li><li>Enhanced light transmission</li><li>Premium hardware system</li><li>Professional Ottawa installation</li></ul>",Renin,Barn Doors,"barn door,continental,dunmore,k-lite,glass,modern,sliding door,Ottawa installation",TRUE,Width,42",,,,,BD-CON-DUN-42X84,16500,shopify,3,deny,manual,1099,1349,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176732_hd.jpg,1,Continental Dunmore K-Lite Barn Door 42x84,FALSE,Continental Dunmore K-Lite Glass Barn Door 42" | Ottawa Installation,Premium Continental Dunmore barn door with K-Lite glass insert. Professional installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-CON-DUN-42X84,Barn Doors,Continental Collection,New,FALSE,Barn Doors,Continental,Glass,Ottawa,PG Closets,,kg,,750
euro-1-lite-bypass-door-48x80,Euro 1-Lite Bypass Door 48" x 80","<p>Premium Euro 1-Lite bypass door system with single glass panel design, perfect for modern closet applications.</p><ul><li>Single glass panel design</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Space-saving design</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,1-lite,closet door,glass panel,space saving,Ottawa installation",TRUE,Width,48",,,,,BP-EUR-1L-48X80,12000,shopify,15,deny,manual,459,559,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155725_hd.jpg,1,Euro 1-Lite Bypass Door 48x80,FALSE,Euro 1-Lite Bypass Closet Door 48" x 80" | Ottawa Installation | PG Closets,Premium Euro 1-Lite bypass door with single glass panel. Professional closet door installation in Ottawa. Modern design and quality.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-1L-48X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,350
euro-1-lite-bypass-door-36x80,Euro 1-Lite Bypass Door 36" x 80","<p>Premium Euro 1-Lite bypass door system with single glass panel design, perfect for modern closet applications.</p><ul><li>Single glass panel design</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Space-saving design</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,1-lite,closet door,glass panel,space saving,Ottawa installation",TRUE,Width,36",,,,,BP-EUR-1L-36X80,10000,shopify,12,deny,manual,359,459,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155725_hd.jpg,1,Euro 1-Lite Bypass Door 36x80,FALSE,Euro 1-Lite Bypass Closet Door 36" x 80" | Ottawa Installation | PG Closets,Premium Euro 1-Lite bypass door with single glass panel. Professional closet door installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-1L-36X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,300
euro-1-lite-bypass-door-60x80,Euro 1-Lite Bypass Door 60" x 80","<p>Premium Euro 1-Lite bypass door system with single glass panel design, perfect for modern closet applications.</p><ul><li>Single glass panel design</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Space-saving design</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,1-lite,closet door,glass panel,space saving,Ottawa installation",TRUE,Width,60",,,,,BP-EUR-1L-60X80,14000,shopify,8,deny,manual,609,709,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155725_hd.jpg,1,Euro 1-Lite Bypass Door 60x80,FALSE,Euro 1-Lite Bypass Closet Door 60" x 80" | Ottawa Installation | PG Closets,Premium Euro 1-Lite bypass door with single glass panel. Professional closet door installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-1L-60X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,400
euro-1-lite-bypass-door-72x80,Euro 1-Lite Bypass Door 72" x 80","<p>Premium Euro 1-Lite bypass door system with single glass panel design, perfect for modern closet applications.</p><ul><li>Single glass panel design</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Space-saving design</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,1-lite,closet door,glass panel,space saving,Ottawa installation",TRUE,Width,72",,,,,BP-EUR-1L-72X80,16000,shopify,5,deny,manual,709,809,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155725_hd.jpg,1,Euro 1-Lite Bypass Door 72x80,FALSE,Euro 1-Lite Bypass Closet Door 72" x 80" | Ottawa Installation | PG Closets,Premium Euro 1-Lite bypass door with single glass panel. Professional closet door installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-1L-72X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,450
